Data;progressivo;Contagi
27/02/2020;1;0
28/02/2020;2;1
29/02/2020;3;3
01/03/2020;4;6
02/03/2020;5;9
03/03/2020;6;15
04/03/2020;7;16
05/03/2020;8;19
06/03/2020;9;24
07/03/2020;10;33
08/03/2020;11;68
09/03/2020;12;93
10/03/2020;13;104
11/03/2020;14;113
12/03/2020;15;164
13/03/2020;16;206
14/03/2020;17;245
15/03/2020;18;312
16/03/2020;19;363
17/03/2020;20;398
18/03/2020;21;425
19/03/2020;22;509
20/03/2020;23;570
21/03/2020;24;613
22/03/2020;25;691
23/03/2020;26;757
24/03/2020;27;826
25/03/2020;28;942
26/03/2020;29;1035
27/03/2020;30;1084
28/03/2020;31;1136
29/03/2020;32;1189
30/03/2020;33;1264
31/03/2020;34;1323
01/04/2020;35;1357
02/04/2020;36;1382
03/04/2020;37;1407
04/04/2020;38;1445
05/04/2020;39;1456
06/04/2020;40;1511
07/04/2020;41;1523
08/04/2020;42;1553
09/04/2020;43;1575
10/04/2020;44;1584
11/04/2020;45;1596
12/04/2020;46;1613
13/04/2020;47;1651
14/04/2020;48;1677
15/04/2020;49;1706
16/04/2020;50;1727
17/04/2020;51;1740
18/04/2020;52;1749
19/04/2020;53;1774
20/04/2020;54;1791
21/04/2020;55;1805
22/04/2020;56;1818
23/04/2020;57;1846
24/04/2020;58;1852
25/04/2020;59;1874
26/04/2020;60;1911
27/04/2020;61;1927
28/04/2020;62;1937
29/04/2020;63;1953
30/04/2020;64;1973
01/05/2020;65;1990
02/05/2020;66;2005
03/05/2020;67;2022
04/05/2020;68;2027
05/05/2020;69;2036
06/05/2020;70;2043
07/05/2020;71;2044
08/05/2020;72;2055
09/05/2020;73;2056
10/05/2020;74;2068
11/05/2020;75;2069
12/05/2020;76;2074
13/05/2020;77;2077
14/05/2020;78;2079
15/05/2020;79;2083
16/05/2020;80;2087
17/05/2020;81;2092
18/05/2020;82;2097
19/05/2020;83;2098
20/05/2020;84;2103
21/05/2020;85;2107
22/05/2020;86;2113
23/05/2020;87;2122
24/05/2020;88;2134
25/05/2020;89;2134
26/05/2020;90;2138
27/05/2020;91;2142
28/05/2020;92;2145
29/05/2020;93;2150
30/05/2020;94;2152
